data,variavel,valor
1995-06-01,Comercializáveis,1.12
1995-06-01,Duráveis,0.51
1995-06-01,Livres,1.78
1995-06-01,Monitorados,5.86
1995-06-01,Não comercializáveis,2.51
1995-06-01,Não-duráveis,0.32
1995-06-01,Semi-duráveis,1.41
1995-06-01,Serviços,4.38
1995-07-01,Comercializáveis,1.78
1995-07-01,Duráveis,-0.49
1995-07-01,Livres,1.92
1995-07-01,Monitorados,5.55
1995-07-01,Não comercializáveis,2.08
1995-07-01,Não-duráveis,1.45
1995-07-01,Semi-duráveis,0.96
1995-07-01,Serviços,3.9
1995-08-01,Comercializáveis,0.2
1995-08-01,Duráveis,-1.03
1995-08-01,Livres,0.95
1995-08-01,Monitorados,1.29
1995-08-01,Não comercializáveis,1.76
1995-08-01,Não-duráveis,0.68
1995-08-01,Semi-duráveis,-1.49
1995-08-01,Serviços,3.31
1995-09-01,Comercializáveis,0.54
1995-09-01,Duráveis,-0.88
1995-09-01,Livres,0.93
1995-09-01,Monitorados,1.42
1995-09-01,Não comercializáveis,1.34
1995-09-01,Não-duráveis,0.12
1995-09-01,Semi-duráveis,0.22
1995-09-01,Serviços,2.85
1995-10-01,Comercializáveis,1.0
1995-10-01,Duráveis,-0.93
1995-10-01,Livres,1.16
1995-10-01,Monitorados,3.18
1995-10-01,Não comercializáveis,1.32
1995-10-01,Não-duráveis,0.68
1995-10-01,Semi-duráveis,0.91
1995-10-01,Serviços,2.47
1995-11-01,Comercializáveis,0.77
1995-11-01,Duráveis,-0.02
1995-11-01,Livres,1.33
1995-11-01,Monitorados,2.46
1995-11-01,Não comercializáveis,1.91
1995-11-01,Não-duráveis,1.06
1995-11-01,Semi-duráveis,0.01
1995-11-01,Serviços,2.71
1995-12-01,Comercializáveis,0.57
1995-12-01,Duráveis,-0.13
1995-12-01,Livres,1.14
1995-12-01,Monitorados,4.4
1995-12-01,Não comercializáveis,1.73
1995-12-01,Não-duráveis,1.09
1995-12-01,Semi-duráveis,-0.29
1995-12-01,Serviços,2.28
1996-01-01,Comercializáveis,0.54
1996-01-01,Duráveis,1.15
1996-01-01,Livres,1.45
1996-01-01,Monitorados,0.6
1996-01-01,Não comercializáveis,2.39
1996-01-01,Não-duráveis,1.46
1996-01-01,Semi-duráveis,0.11
1996-01-01,Serviços,2.2
1996-02-01,Comercializáveis,-0.66
1996-02-01,Duráveis,0.42
1996-02-01,Livres,0.55
1996-02-01,Monitorados,4.23
1996-02-01,Não comercializáveis,1.77
1996-02-01,Não-duráveis,0.21
1996-02-01,Semi-duráveis,-2.27
1996-02-01,Serviços,2.32
1996-03-01,Comercializáveis,-0.6
1996-03-01,Duráveis,0.94
1996-03-01,Livres,0.37
1996-03-01,Monitorados,0.25
1996-03-01,Não comercializáveis,1.32
1996-03-01,Não-duráveis,0.18
1996-03-01,Semi-duráveis,-2.24
1996-03-01,Serviços,1.63
1996-04-01,Comercializáveis,0.46
1996-04-01,Duráveis,0.72
1996-04-01,Livres,0.85
